2018-08-21 13:28:00,635 DEBUG Main – Запуск программы.
2018-08-21 13:28:23,021 DEBUG .ctor – Запуск формы 'Тестирование'
2018-08-21 13:28:23,067 DEBUG SetDeviceIndicators – Устройство сканер не найдено!
2018-08-21 13:28:23,147 DEBUG SetDeviceIndicators – PLC устройство отключено! Окно не занято
2018-08-21 13:28:40,358 DEBUG Connect – Инициализация таймера WatchDog0
2018-08-21 13:29:52,546 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:29:52:546
2018-08-21 13:29:53,590 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:29:53:590
2018-08-21 13:29:54,634 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:29:54:634
2018-08-21 13:29:55,680 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:29:55:680
2018-08-21 13:29:56,727 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:29:56:727
2018-08-21 13:29:57,771 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:29:57:771
2018-08-21 13:29:58,816 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:29:58:816
2018-08-21 13:29:59,862 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:29:59:862
2018-08-21 13:30:00,910 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:30:00:909
2018-08-21 13:30:01,951 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:30:01:951
2018-08-21 13:30:02,997 DEBUG timerWatchDog_Elapsed – Получили true, записали true 0 21.08.2018 04:30:02:997
2018-08-21 13:30:04,041 DEBUG timerWatchDog_Elapsed – Получили false, записали false 1 21.08.2018 04:30:04:040
2018-08-21 13:30:05,087 DEBUG timerWatchDog_Elapsed – Получили true, записали true 0 21.08.2018 04:30:05:087
2018-08-21 13:30:06,134 DEBUG timerWatchDog_Elapsed – Получили false, записали false 1 21.08.2018 04:30:06:134
2018-08-21 13:30:07,179 DEBUG timerWatchDog_Elapsed – Получили true, записали true 0 21.08.2018 04:30:07:179
2018-08-21 13:30:08,223 DEBUG timerWatchDog_Elapsed – Получили false, записали false 1 21.08.2018 04:30:08:223
2018-08-21 13:30:09,267 DEBUG timerWatchDog_Elapsed – Получили true, записали true 0 21.08.2018 04:30:09:267
2018-08-21 13:30:10,315 DEBUG timerWatchDog_Elapsed – Получили false, записали false 1 21.08.2018 04:30:10:315
2018-08-21 13:30:11,359 DEBUG timerWatchDog_Elapsed – Получили true, записали true 0 21.08.2018 04:30:11:359
2018-08-21 13:30:12,404 DEBUG timerWatchDog_Elapsed – Получили false, записали false 1 21.08.2018 04:30:12:404
